"batch_id","index","attempt","status","timestamp","source_relpath","corpus","source_ai","reference_png","source_size_bytes","source_sha256_before","source_hash_preverified","scale_mode","calculated_scale_percent","applied_scale_percent","s_raw","artboards_before","visible_bounds_before","visible_width_before_pt","visible_height_before_pt","page_items_before","layers_before","stroke_widths_original","stroked_objects","stroke_widths_before_scale","stroke_widths_after_scale","stroke_mismatch_count","final_visible_bounds","final_visible_width_pt","final_visible_height_pt","final_center_x","final_center_y","final_artboard","layer_state_match","item_state_match","item_structure_match","item_geometry_match_after_reopen","ruler_units_pixels_after_reopen","output_ai","output_png","audit_json","comment"
"215_235_20260727_143245","215","1","OK","2026-07-27T14:32:48","Корпус 2.3/POZD_WEB_K2-3_s10_et2_3.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et2_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et2_3.png","199376","3953c2b854ff7d3f8bd75829e48262e1489d0a665672f345a4868f70edb09cb8","true","calculated","170","170","1.647409434","1","[673.700794,790.223472,1247.299206,290.776528]","573.598412","499.446944","2491","11","[{""width_pt"":0.75,""count"":1116},{""width_pt"":1,""count"":111}]","1227","[{""width_pt"":0.75,""count"":1227}]","[{""width_pt"":0.75,""count"":1227}]","0","[112.916349,1024.267403,1087.083651,175.732597]","974.167302","848.534806","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et2_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et2_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\215_POZD_WEB_K2-3_s10_et2_3_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.647409434."
"215_235_20260727_143245","216","1","OK","2026-07-27T14:33:23","Корпус 2.3/POZD_WEB_K2-3_s10_et2_4.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et2_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et2_4.png","208726","8494fe1a2e92ab98807abf7820e1761c9278592d0f8793340448f72601ad4fd7","true","calculated","170","170","1.647409399","1","[673.700782,790.223472,1247.299218,290.776528]","573.598436","499.446944","2546","11","[{""width_pt"":0.75,""count"":1132},{""width_pt"":1,""count"":125}]","1257","[{""width_pt"":0.75,""count"":1257}]","[{""width_pt"":0.75,""count"":1257}]","0","[112.91633,1024.267403,1087.08367,175.732597]","974.16734","848.534806","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et2_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et2_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\216_POZD_WEB_K2-3_s10_et2_4_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.647409399."
"215_235_20260727_143245","217","1","OK","2026-07-27T14:33:57","Корпус 2.3/POZD_WEB_K2-3_s10_et2_5.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et2_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et2_5.png","239608","b9c102bfe9013c43c8a2870a8542e3c076e6d76bad51b2c18dfd35b2ce0868cc","true","calculated","120","120","1.281330519","1","[656.836453,931.080712,1264.042163,151.174805]","607.20571","779.905907","3538","13","[{""width_pt"":0.75,""count"":1588},{""width_pt"":1,""count"":165}]","1753","[{""width_pt"":0.75,""count"":1753}]","[{""width_pt"":0.75,""count"":1753}]","0","[235.824405,1067.906337,964.175595,132.09375]","728.35119","935.812587","600","600.000044","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s10_et2_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s10_et2_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\217_POZD_WEB_K2-3_s10_et2_5_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.281330519."
"215_235_20260727_143245","218","1","OK","2026-07-27T14:34:44","Корпус 2.3/POZD_WEB_K2-3_s10_et2_6.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et2_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et2_6.png","207331","d720245de7fe0d8a2a167d2b616bd603bcb2b5bbe267c0f69e063361daf61f7b","true","calculated","120","120","1.171514755","1","[503.763781,762.027566,1417.111219,317.972434]","913.347438","444.055132","2981","11","[{""width_pt"":0.75,""count"":1328},{""width_pt"":1,""count"":145}]","1473","[{""width_pt"":0.75,""count"":1473}]","[{""width_pt"":0.75,""count"":1473}]","0","[52.141537,866.208079,1147.858463,333.791921]","1095.716926","532.416158","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s10_et2_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s10_et2_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\218_POZD_WEB_K2-3_s10_et2_6_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.171514755."
"215_235_20260727_143245","219","1","OK","2026-07-27T14:35:20","Корпус 2.3/POZD_WEB_K2-3_s10_et3,5_1.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3,5_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3,5_1.png","175032","1047c47cdfc751dbcead82b688f42be82d167517f26ce293afe9fb99aeaf5e07","true","calculated","200","200","1.875569556","1","[713.736219,764.312008,1206.263781,315.562992]","492.527562","448.749016","2032","10","[{""width_pt"":0.75,""count"":906},{""width_pt"":1,""count"":100}]","1006","[{""width_pt"":0.75,""count"":1006}]","[{""width_pt"":0.75,""count"":1006}]","0","[108.097438,1048.249016,1091.902562,151.750984]","983.805124","896.498032","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s10_et3,5_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s10_et3,5_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\219_POZD_WEB_K2-3_s10_et3,5_1_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.875569556."
"215_235_20260727_143245","220","1","OK","2026-07-27T14:35:47","Корпус 2.3/POZD_WEB_K2-3_s10_et3,5_2.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3,5_2.png","143426","25215302edca2146c40a29e540c8731b23502e009bbc20756de60fdab801e204","true","calculated","200","200","2.190113942","1","[809.763779,784.279528,1111.111221,295.720472]","301.347442","488.559056","1381","10","[{""width_pt"":0.75,""count"":609},{""width_pt"":1,""count"":69}]","678","[{""width_pt"":0.75,""count"":678}]","[{""width_pt"":0.75,""count"":678}]","0","[299.152559,1087.934056,900.847441,112.065944]","601.694882","975.868112","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s10_et3,5_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s10_et3,5_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\220_POZD_WEB_K2-3_s10_et3,5_2_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.190113942."
"215_235_20260727_143245","221","1","OK","2026-07-27T14:36:12","Корпус 2.3/POZD_WEB_K2-3_s10_et3,5_4.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3,5_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3,5_4.png","203813","3f75a1cd56ed884c45599970ab1ad02f0f5185225b99a15b7d085acbed40f17d","true","calculated","170","170","1.695662299","1","[673.700774,776.275591,1247.299226,304.849409]","573.598452","471.426182","2527","10","[{""width_pt"":0.75,""count"":1123},{""width_pt"":1,""count"":126}]","1249","[{""width_pt"":0.75,""count"":1249}]","[{""width_pt"":0.75,""count"":1249}]","0","[112.916317,1000.343504,1087.083683,199.656496]","974.167366","800.687008","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et3,5_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et3,5_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\221_POZD_WEB_K2-3_s10_et3,5_4_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.695662299."
"215_235_20260727_143245","222","1","OK","2026-07-27T14:36:44","Корпус 2.3/POZD_WEB_K2-3_s10_et3,5_6.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3,5_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3,5_6.png","205177","db3639e38a98902691940124a87acd46e917a18e0c66fa29df6c8609df55eb9c","true","calculated","120","120","1.208480438","1","[517.795275,762.027562,1403.204725,317.972438]","885.40945","444.055124","2927","10","[{""width_pt"":0.75,""count"":1306},{""width_pt"":1,""count"":143}]","1449","[{""width_pt"":0.75,""count"":1449}]","[{""width_pt"":0.75,""count"":1449}]","0","[68.979331,866.208074,1131.020669,333.791926]","1062.041338","532.416148","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s10_et3,5_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s10_et3,5_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\222_POZD_WEB_K2-3_s10_et3,5_6_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.208480438."
"215_235_20260727_143245","223","1","OK","2026-07-27T14:37:19","Корпус 2.3/POZD_WEB_K2-3_s10_et3_3.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et3_3.png","193857","7f651c53eba60416017dc461398c24df718e4ec2c7d4cc29ff0875a217148424","true","calculated","170","170","1.695662296","1","[673.700773,776.275591,1247.299227,304.849409]","573.598454","471.426182","2420","10","[{""width_pt"":0.75,""count"":1087},{""width_pt"":1,""count"":108}]","1195","[{""width_pt"":0.75,""count"":1195}]","[{""width_pt"":0.75,""count"":1195}]","0","[112.916314,1000.343504,1087.083686,199.656496]","974.167372","800.687008","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et3_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et3_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\223_POZD_WEB_K2-3_s10_et3_3_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.695662296."
"215_235_20260727_143245","224","1","OK","2026-07-27T14:37:49","Корпус 2.3/POZD_WEB_K2-3_s10_et4_1.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s10_et4_1.png","178902","f56ddf8cc464ae005756614dc626cc3027cfa5404690fe1b4ff9d97f2ad5f802","true","calculated","170","170","1.806312963","1","[710.551181,778.343504,1210.448819,301.656496]","499.897638","476.687008","2062","11","[{""width_pt"":0.75,""count"":920},{""width_pt"":1,""count"":99}]","1019","[{""width_pt"":0.75,""count"":1019}]","[{""width_pt"":0.75,""count"":1019}]","0","[175.562007,1004.921457,1024.437993,195.078543]","848.875986","809.842914","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et4_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s10_et4_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\224_POZD_WEB_K2-3_s10_et4_1_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.806312963."
