"batch_id","index","attempt","status","timestamp","source_relpath","corpus","source_ai","reference_png","source_size_bytes","source_sha256_before","source_hash_preverified","scale_mode","calculated_scale_percent","applied_scale_percent","s_raw","artboards_before","visible_bounds_before","visible_width_before_pt","visible_height_before_pt","page_items_before","layers_before","stroke_widths_original","stroked_objects","stroke_widths_before_scale","stroke_widths_after_scale","stroke_mismatch_count","final_visible_bounds","final_visible_width_pt","final_visible_height_pt","final_center_x","final_center_y","final_artboard","layer_state_match","item_state_match","item_structure_match","item_geometry_match_after_reopen","ruler_units_pixels_after_reopen","output_ai","output_png","audit_json","comment"
"041_045_20260727_122553","41","1","OK","2026-07-27T12:25:53","Корпус 2.1/POZD_WEB_K2-1_s2_et2_6.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_6.png","223988","ce2a7a4ee5d4d45f58da843c0b149254a44af952caf8b2c2b4e52fd3cd558b13","true","calculated","150","150","1.507052335","1","[173.885818,644.326774,668.114182,-48.326774]","494.228364","692.653548","3200","10","[{""width_pt"":0.75,""count"":1429},{""width_pt"":1,""count"":151}]","1580","[{""width_pt"":0.75,""count"":1580}]","[{""width_pt"":0.75,""count"":1580}]","0","[229.703727,1119.115162,970.296273,80.884838]","740.592546","1038.230324","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s2_et2_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s2_et2_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\041_POZD_WEB_K2-1_s2_et2_6_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.507052335."
"041_045_20260727_122553","42","1","OK","2026-07-27T12:26:32","Корпус 2.1/POZD_WEB_K2-1_s2_et2_7.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_7.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_7.png","189288","17ca6a3bcf0cf4b6d07bd73d5b78989ef366f0cf179268c6f17cf006ad357eae","true","calculated","170","170","1.746828692","1","[134.7008,520.169291,708.2992,75.955709]","573.5984","444.213582","2302","10","[{""width_pt"":0.75,""count"":1025},{""width_pt"":1,""count"":117}]","1142","[{""width_pt"":0.75,""count"":1142}]","[{""width_pt"":0.75,""count"":1142}]","0","[112.91636,977.212795,1087.08364,222.787205]","974.16728","754.42559","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s2_et2_7.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s2_et2_7.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\042_POZD_WEB_K2-1_s2_et2_7_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.746828692."
"041_045_20260727_122553","43","1","OK","2026-07-27T12:27:00","Корпус 2.1/POZD_WEB_K2-1_s2_et2_9.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_9.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_9.png","211761","c84d4188a52ed48c2880248603ce3b4c32259bb975337b2bc548ecf76139584f","true","calculated","170","170","1.689982649","1","[106.688832,515.029016,735.311168,81.970984]","628.622336","433.058032","2822","10","[{""width_pt"":0.75,""count"":1263},{""width_pt"":1,""count"":134}]","1397","[{""width_pt"":0.75,""count"":1397}]","[{""width_pt"":0.75,""count"":1397}]","0","[66.146854,967.624326,1133.853146,232.375674]","1067.706292","735.248652","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s2_et2_9.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s2_et2_9.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\043_POZD_WEB_K2-1_s2_et2_9_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.689982649."
"041_045_20260727_122553","44","1","OK","2026-07-27T12:27:34","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_1.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_1.png","192443","7fd01dfdb1cd59aed4df780c510eaebe76b41534ef41b9175cfcf70bcc21cef0","true","calculated","200","200","1.865416653","1","[227.677165,585.299198,615.322835,11.700802]","387.64567","573.598396","2467","10","[{""width_pt"":0.75,""count"":1112},{""width_pt"":1,""count"":109}]","1221","[{""width_pt"":0.75,""count"":1221}]","[{""width_pt"":0.75,""count"":1221}]","0","[212.979331,1172.973396,987.020669,27.026604]","774.041338","1145.946792","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s2_et3,5_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s2_et3,5_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\044_POZD_WEB_K2-1_s2_et3,5_1_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.865416653."
"041_045_20260727_122553","45","1","OK","2026-07-27T12:28:04","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_2.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_2.png","166389","032967807c37acf7b2a718e180b04fd14ed3b155f67b2fdbd4c035531cd6fbaa","true","calculated","200","200","2.244914167","1","[227.671161,497.486004,615.328839,99.513996]","387.657678","397.972008","1689","10","[{""width_pt"":0.75,""count"":749},{""width_pt"":1,""count"":84}]","833","[{""width_pt"":0.75,""count"":833}]","[{""width_pt"":0.75,""count"":833}]","0","[212.967321,997.347008,987.032679,202.652992]","774.065358","794.694016","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s2_et3,5_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s2_et3,5_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\045_POZD_WEB_K2-1_s2_et3,5_2_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.244914167."
