"batch_id","index","attempt","status","timestamp","source_relpath","corpus","source_ai","reference_png","source_size_bytes","source_sha256_before","source_hash_preverified","scale_mode","calculated_scale_percent","applied_scale_percent","s_raw","artboards_before","visible_bounds_before","visible_width_before_pt","visible_height_before_pt","page_items_before","layers_before","stroke_widths_original","stroked_objects","stroke_widths_before_scale","stroke_widths_after_scale","stroke_mismatch_count","final_visible_bounds","final_visible_width_pt","final_visible_height_pt","final_center_x","final_center_y","final_artboard","layer_state_match","item_state_match","item_structure_match","item_geometry_match_after_reopen","ruler_units_pixels_after_reopen","output_ai","output_png","audit_json","comment"
"066_071_20260727_124127","66","1","OK","2026-07-27T12:41:27","Корпус 2.1/POZD_WEB_K2-1_s3_et1_2.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et1_2.png","348174","6709bcf0dbf5d53b73b1506a31e7151e2faeee57ce95c6e28618d1c98e484dc5","true","calculated","150","150","1.470619079","1","[134.717408,611.435847,708.315838,-15.310847]","573.59843","626.746694","5270","15","[{""width_pt"":0.75,""count"":2435},{""width_pt"":1,""count"":164}]","2599","[{""width_pt"":0.75,""count"":2599}]","[{""width_pt"":0.75,""count"":2599}]","0","[170.151243,1069.77877,1029.848757,130.22123]","859.697514","939.55754","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s3_et1_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s3_et1_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\066_POZD_WEB_K2-1_s3_et1_2_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.470619079."
"066_071_20260727_124127","67","1","OK","2026-07-27T12:42:44","Корпус 2.1/POZD_WEB_K2-1_s3_et1_3.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et1_3.png","308480","bdaa10496fca6cdc77193eab3c7cec8977c886f9621b14b44c3a8dacd85f8645","true","calculated","150","150","1.519674608","1","[134.699337,591.968327,708.297764,5.031673]","573.598427","586.936654","4449","15","[{""width_pt"":0.75,""count"":2037},{""width_pt"":1,""count"":160}]","2197","[{""width_pt"":0.75,""count"":2197}]","[{""width_pt"":0.75,""count"":2197}]","0","[170.142478,1040.01499,1029.857522,159.98501]","859.715044","880.02998","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s3_et1_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s3_et1_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\067_POZD_WEB_K2-1_s3_et1_3_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.519674608."
"066_071_20260727_124127","69","1","OK","2026-07-27T12:43:40","Корпус 2.1/POZD_WEB_K2-1_s3_et2,4_1.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2,4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2,4_1.png","229318","454269c1c86cbb5d8ff1fa4892e779425edf5e774e83473f7c60c74b36dcfa0f","true","calculated","120","120","1.208480438","1","[134.700795,741.204725,708.299205,-144.204725]","573.59841","885.40945","3418","10","[{""width_pt"":0.75,""count"":1533},{""width_pt"":1,""count"":156}]","1689","[{""width_pt"":0.75,""count"":1689}]","[{""width_pt"":0.75,""count"":1689}]","0","[256.065954,1131.020669,943.934046,68.979331]","687.868092","1062.041338","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s3_et2,4_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s3_et2,4_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\069_POZD_WEB_K2-1_s3_et2,4_1_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.208480438."
"066_071_20260727_124127","70","1","OK","2026-07-27T12:44:18","Корпус 2.1/POZD_WEB_K2-1_s3_et2,4_5.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2,4_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2,4_5.png","166463","2bcb188c23ac8061035f64f6a05bb93e0fc265748d7aee4eb7aa8ecf12528b65","true","calculated","200","200","2.134474647","1","[224.909442,516.133858,617.090558,80.991142]","392.181116","435.142716","1724","10","[{""width_pt"":0.75,""count"":761},{""width_pt"":1,""count"":97}]","858","[{""width_pt"":0.75,""count"":858}]","[{""width_pt"":0.75,""count"":858}]","0","[208.443884,1034.642717,991.556116,165.357283]","783.112232","869.285434","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s3_et2,4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s3_et2,4_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\070_POZD_WEB_K2-1_s3_et2,4_5_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.134474647."
"066_071_20260727_124127","71","1","OK","2026-07-27T12:44:44","Корпус 2.1/POZD_WEB_K2-1_s3_et2,6_3.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2,6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2,6_3.png","199777","e02e77f611bcb992da299129178acbe514e9a63663db58656ed09d6f375b0d57","true","calculated","170","170","1.671709548","1","[134.700801,540.95374,708.299199,55.92126]","573.598398","485.03248","2630","10","[{""width_pt"":0.75,""count"":1179},{""width_pt"":1,""count"":119}]","1298","[{""width_pt"":0.75,""count"":1298}]","[{""width_pt"":0.75,""count"":1298}]","0","[112.916362,1011.908858,1087.083638,188.091142]","974.167276","823.817716","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s3_et2,6_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s3_et2,6_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\071_POZD_WEB_K2-1_s3_et2,6_3_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.671709548."
