"batch_id","index","status","timestamp","source_relpath","expected_scale_percent","ai_opened","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","output_ai","output_png","verify_audit","comment"
"002_026_20260727_164026","2","OK","2026-07-27T16:40:29","Корпус 2.1/POZD_WEB_K2-1_s1_et1_3.ai","200","true","true","1","1200","1200","600","600","true","829","0","1676","1676","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\002_POZD_WEB_K2-1_s1_et1_3_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","3","OK","2026-07-27T16:40:35","Корпус 2.1/POZD_WEB_K2-1_s1_et1_4.ai","200","true","true","1","1200","1200","600","600","true","825","0","1666","1666","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\003_POZD_WEB_K2-1_s1_et1_4_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","4","OK","2026-07-27T16:40:41","Корпус 2.1/POZD_WEB_K2-1_s1_et1_5.ai","110","true","true","1","1200","1200","600","600","true","2312","0","4689","4689","16","16","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\004_POZD_WEB_K2-1_s1_et1_5_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","5","OK","2026-07-27T16:41:42","Корпус 2.1/POZD_WEB_K2-1_s1_et1_6.ai","200","true","true","1","1200","1200","600","600.000001","true","1601","0","3253","3253","15","15","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\005_POZD_WEB_K2-1_s1_et1_6_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","6","OK","2026-07-27T16:42:06","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_3.ai","170","true","true","1","1200","1200","600","600","true","1214","0","2454","2454","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2,4_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2,4_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\006_POZD_WEB_K2-1_s1_et2,4_3_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","7","OK","2026-07-27T16:42:17","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_5.ai","120","true","true","1","1200","1200","600","600","true","1745","0","3534","3534","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s1_et2,4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s1_et2,4_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\007_POZD_WEB_K2-1_s1_et2,4_5_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","8","OK","2026-07-27T16:42:44","Корпус 2.1/POZD_WEB_K2-1_s1_et2,6_4.ai","200","true","true","1","1200","1200","600","600","true","824","0","1660","1660","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et2,6_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et2,6_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\008_POZD_WEB_K2-1_s1_et2,6_4_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","9","OK","2026-07-27T16:42:50","Корпус 2.1/POZD_WEB_K2-1_s1_et2_1.ai","170","true","true","1","1200","1200","600","600","true","1180","0","2394","2394","14","14","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\009_POZD_WEB_K2-1_s1_et2_1_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","10","OK","2026-07-27T16:42:59","Корпус 2.1/POZD_WEB_K2-1_s1_et2_2.ai","170","true","true","1","1200","1200","600","600","true","1208","0","2452","2452","14","14","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\010_POZD_WEB_K2-1_s1_et2_2_verify_attempt2.json","Независимая read-only проверка AI пройдена."
"002_026_20260727_164026","11","OK","2026-07-27T16:43:10","Корпус 2.1/POZD_WEB_K2-1_s1_et2_6.ai","170","true","true","1","1200","1200","600","600","true","1318","0","2672","2672","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\011_POZD_WEB_K2-1_s1_et2_6_verify_attempt2.json","Независимая read-only проверка AI пройдена."
