"batch_id","index","status","timestamp","source_relpath","expected_scale_percent","ai_opened","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","output_ai","output_png","verify_audit","comment"
"107_111_20260727_131356","107","OK","2026-07-27T13:13:56","Корпус 2.1/POZD_WEB_K2-1_s4_et4_5.ai","170","true","true","1","1200","1200","600","600","true","1494","0","3030","3030","14","14","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s4_et4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s4_et4_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\107_POZD_WEB_K2-1_s4_et4_5_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"107_111_20260727_131356","108","OK","2026-07-27T13:14:00","Корпус 2.1/POZD_WEB_K2-1_s4_et4_6.ai","170","true","true","1","1200","1200","600","600","true","1421","0","2885","2885","13","13","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s4_et4_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s4_et4_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\108_POZD_WEB_K2-1_s4_et4_6_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"107_111_20260727_131356","109","OK","2026-07-27T13:14:04","Корпус 2.1/POZD_WEB_K2-1_s4_et4_7.ai","200","true","true","1","1200","1200","600","600","true","746","0","1513","1513","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s4_et4_7.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s4_et4_7.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\109_POZD_WEB_K2-1_s4_et4_7_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"107_111_20260727_131356","110","OK","2026-07-27T13:14:06","Корпус 2.1/POZD_WEB_K2-1_s4_et6_1.ai","120","true","true","1","1200","1200","600","600","true","1950","0","3941","3941","13","13","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s4_et6_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s4_et6_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\110_POZD_WEB_K2-1_s4_et6_1_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"107_111_20260727_131356","111","OK","2026-07-27T13:14:12","Корпус 2.1/POZD_WEB_K2-1_s4_et6_2.ai","150","true","true","1","1200","1200","600","600","true","1787","0","3603","3603","18","18","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s4_et6_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s4_et6_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\111_POZD_WEB_K2-1_s4_et6_2_verify_attempt1.json","Независимая read-only проверка AI пройдена."
