"index","corpus","source_relpath","source_ai","reference_png","source_size_bytes","source_sha256_before","source_sha256_after","override_scale_percent","override_reason","status","applied_scale_percent","output_ai","output_png","output_ai_sha256","output_png_sha256","audit_json","attempts","last_error"
"10","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_2.png","202319","c7238ec6e97e2db2d601d0ba1fa309722127af09af97b37f19d7866fe86e9bde","","","","PENDING","","","","","","","0",""
"11","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_6.png","203896","cb9628a8fb5036c54ea6822457ba3ff90066a3709a98d659d9129c9ef15015d6","","","","PENDING","","","","","","","0",""
"12","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_1.png","192006","cba1976b1389520fcdfadb293265777df0d44721c4e55831bf9b9041527d2966","","","","PENDING","","","","","","","0",""
"13","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_2.png","195811","7e71dc84fde0920777cf12fa588b9aa88227bdae1bf4e21de84a760e4fe00faa","","","","PENDING","","","","","","","0",""
"14","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_3.png","199355","6c762af12e0cdd795be079ffb5fbc59a542d5e517a843a1c8ddf88abca84dd55","","","","PENDING","","","","","","","0",""
"15","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_4.png","161712","a5e0791ef94174e9050cefc6fd9c345ccd01b7878f521dfe623e7ec0df0ed40f","","","","PENDING","","","","","","","0",""
"16","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_5.png","227778","3a91f804031ae1a4a62577e04ae9a57d41bffbbcda73903801707c9f67f246a0","","","","PENDING","","","","","","","0",""
"17","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_6.png","204539","0a72f67f26edc44c028e1610e9840cb1599f52ff077907a768d22fb5d03e8f39","","","","PENDING","","","","","","","0",""
"18","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_1.png","188568","e7aa136e0ed853f2d975512c8832374d3412c71218a4afb580aab00024b2cb3e","","","","PENDING","","","","","","","0",""
"19","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et4_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_2.png","199732","2a44c0f77c128527434b7bfd2411a2178777b8d65767f627cf87175a88a77a18","","","","PENDING","","","","","","","0",""
