"batch_id","index","status","timestamp","source_relpath","expected_scale_percent","ai_opened","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","output_ai","output_png","verify_audit","comment"
"143_147_20260727_133606","143","OK","2026-07-27T13:36:06","Корпус 2.1/POZD_WEB_K2-1_s5_et4_2.ai","170","true","true","1","1200","1200","600","600","true","1363","0","2758","2758","13","13","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et4_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et4_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\143_POZD_WEB_K2-1_s5_et4_2_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"143_147_20260727_133606","144","OK","2026-07-27T13:36:10","Корпус 2.1/POZD_WEB_K2-1_s5_et4_4.ai","170","true","true","1","1200","1200","600","600","true","1239","0","2508","2508","13","13","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et4_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et4_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\144_POZD_WEB_K2-1_s5_et4_4_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"143_147_20260727_133606","145","OK","2026-07-27T13:36:13","Корпус 2.1/POZD_WEB_K2-1_s5_et4_5.ai","200","true","true","1","1200","1200","600","600","true","901","0","1836","1836","13","13","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s5_et4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s5_et4_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\145_POZD_WEB_K2-1_s5_et4_5_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"143_147_20260727_133606","146","OK","2026-07-27T13:36:15","Корпус 2.1/POZD_WEB_K2-1_s5_et4_7.ai","170","true","true","1","1200","1200","600","600","true","1273","0","2573","2573","13","13","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et4_7.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et4_7.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\146_POZD_WEB_K2-1_s5_et4_7_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"143_147_20260727_133606","147","OK","2026-07-27T13:36:18","Корпус 2.1/POZD_WEB_K2-1_s5_et4_8.ai","170","true","true","1","1200","1200","600","600","true","1218","0","2470","2470","13","13","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et4_8.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et4_8.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\147_POZD_WEB_K2-1_s5_et4_8_verify_attempt1.json","Независимая read-only проверка AI пройдена."
