"batch_id","index","status","timestamp","source_relpath","expected_scale_percent","ai_opened","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","output_ai","output_png","verify_audit","comment"
"337_357_20260727_160439","337","OK","2026-07-27T16:04:39","Корпус 2.3/POZD_WEB_K2-3_s8_et1_5.ai","200","true","true","1","1200","1200","600","600","true","891","0","1809","1809","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et1_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et1_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\337_POZD_WEB_K2-3_s8_et1_5_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","338","OK","2026-07-27T16:04:42","Корпус 2.3/POZD_WEB_K2-3_s8_et1_6.ai","200","true","true","1","1200","1200","600","600","true","900","0","1813","1813","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et1_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et1_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\338_POZD_WEB_K2-3_s8_et1_6_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","339","OK","2026-07-27T16:04:44","Корпус 2.3/POZD_WEB_K2-3_s8_et1_8.ai","150","true","true","1","1200","1200","600","600","true","1420","0","2877","2877","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s8_et1_8.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s8_et1_8.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\339_POZD_WEB_K2-3_s8_et1_8_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","340","OK","2026-07-27T16:04:48","Корпус 2.3/POZD_WEB_K2-3_s8_et1_9.ai","170","true","true","1","1200","1200","600","600","true","1298","0","2633","2633","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et1_9.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et1_9.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\340_POZD_WEB_K2-3_s8_et1_9_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","341","OK","2026-07-27T16:04:51","Корпус 2.3/POZD_WEB_K2-3_s8_et2,3,4_11.ai","200","true","true","1","1200","1200","600","600","true","774","0","1562","1562","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2,3,4_11.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2,3,4_11.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\341_POZD_WEB_K2-3_s8_et2,3,4_11_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","342","OK","2026-07-27T16:04:54","Корпус 2.3/POZD_WEB_K2-3_s8_et2,4_2.ai","200","true","true","1","1200","1200","600","600","true","862","0","1736","1736","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2,4_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2,4_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\342_POZD_WEB_K2-3_s8_et2,4_2_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","343","OK","2026-07-27T16:04:57","Корпус 2.3/POZD_WEB_K2-3_s8_et2,4_6.ai","170","true","true","1","1200","1200","600","600","true","1195","0","2414","2414","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2,4_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2,4_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\343_POZD_WEB_K2-3_s8_et2,4_6_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","344","OK","2026-07-27T16:05:00","Корпус 2.3/POZD_WEB_K2-3_s8_et2_1.ai","170","true","true","1","1200","1200","600","600","true","1265","0","2566","2566","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\344_POZD_WEB_K2-3_s8_et2_1_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","345","OK","2026-07-27T16:05:03","Корпус 2.3/POZD_WEB_K2-3_s8_et2_10.ai","170","true","true","1","1200","1200","600","600","true","1284","0","2605","2605","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2_10.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2_10.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\345_POZD_WEB_K2-3_s8_et2_10_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"337_357_20260727_160439","346","OK","2026-07-27T16:05:06","Корпус 2.3/POZD_WEB_K2-3_s8_et2_2.ai","200","true","true","1","1200","1200","600","600","true","864","0","1744","1744","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\346_POZD_WEB_K2-3_s8_et2_2_verify_attempt1.json","Независимая read-only проверка AI пройдена."
