"batch_id","index","status","timestamp","source_relpath","expected_scale_percent","ai_opened","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","output_ai","output_png","verify_audit","comment"
"153_157_20260727_134352","153","OK","2026-07-27T13:43:52","Корпус 2.1/POZD_WEB_K2-1_s5_et6_5.ai","120","true","true","1","1200","1200","600","600","true","2439","0","4920","4920","18","18","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s5_et6_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s5_et6_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\153_POZD_WEB_K2-1_s5_et6_5_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"153_157_20260727_134352","154","OK","2026-07-27T13:44:00","Корпус 2.1/POZD_WEB_K2-1_s5_et6_6.ai","150","true","true","1","1200","1200","600","600","true","2733","0","5522","5522","19","19","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s5_et6_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х150_POZD_WEB_K2-1_s5_et6_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\154_POZD_WEB_K2-1_s5_et6_6_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"153_157_20260727_134352","155","OK","2026-07-27T13:44:08","Корпус 2.1/POZD_WEB_K2-1_s5_et6_7.ai","170","true","true","1","1200","1200","600","600","true","1196","0","2422","2422","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et6_7.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et6_7.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\155_POZD_WEB_K2-1_s5_et6_7_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"153_157_20260727_134352","156","OK","2026-07-27T13:44:11","Корпус 2.1/POZD_WEB_K2-1_s5_et6_9.ai","170","true","true","1","1200","1200","600","600","true","1171","0","2370","2370","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et6_9.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et6_9.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\156_POZD_WEB_K2-1_s5_et6_9_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"153_157_20260727_134352","157","OK","2026-07-27T13:44:14","Корпус 2.2/POZD_WEB_K2-2_s6_et1_1.ai","170","true","true","1","1200","1200","600","600","true","1060","0","2160","2160","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s6_et1_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s6_et1_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\157_POZD_WEB_K2-2_s6_et1_1_verify_attempt1.json","Независимая read-only проверка AI пройдена."
