"batch_id","index","status","source_relpath","applied_scale_percent","illustrator_status","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","pdf_compatible","png_width","png_height","png_has_alpha","png_transparent_pixels","png_nontransparent_pixels","png_corners_transparent","png_no_opaque_white_rectangle","source_hash_match","output_ai_hash_match","output_png_hash_match","output_ai","output_png","process_audit","verify_audit","comment"
"128_132_20260727_132647","128","OK","Корпус 2.1/POZD_WEB_K2-1_s5_et2_9.ai","170","OK","true","1","1200","1200","600","600","true","1271","0","2577","2577","14","14","true","true","true","true","true","True","1200","1200","True","784700","655300","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et2_9.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et2_9.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\128_POZD_WEB_K2-1_s5_et2_9_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\128_POZD_WEB_K2-1_s5_et2_9_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"128_132_20260727_132647","129","OK","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_1.ai","170","OK","true","1","1200","1200","600","600","true","1214","0","2465","2465","11","11","true","true","true","true","true","True","1200","1200","True","859977","580023","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et3,5_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et3,5_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\129_POZD_WEB_K2-1_s5_et3,5_1_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\129_POZD_WEB_K2-1_s5_et3,5_1_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"128_132_20260727_132647","130","OK","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_10.ai","170","OK","true","1","1200","1200","600","600","true","1169","0","2367","2367","10","10","true","true","true","true","true","True","1200","1200","True","809445","630555","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et3,5_10.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et3,5_10.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\130_POZD_WEB_K2-1_s5_et3,5_10_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\130_POZD_WEB_K2-1_s5_et3,5_10_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"128_132_20260727_132647","131","OK","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_11.ai","170","OK","true","1","1200","1200","600","600","true","1128","0","2282","2282","10","10","true","true","true","true","true","True","1200","1200","True","840278","599722","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et3,5_11.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et3,5_11.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\131_POZD_WEB_K2-1_s5_et3,5_11_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\131_POZD_WEB_K2-1_s5_et3,5_11_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"128_132_20260727_132647","132","OK","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_2.ai","170","OK","true","1","1200","1200","600","600","true","1349","0","2726","2726","10","10","true","true","true","true","true","True","1200","1200","True","784002","655998","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et3,5_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s5_et3,5_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\132_POZD_WEB_K2-1_s5_et3,5_2_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\132_POZD_WEB_K2-1_s5_et3,5_2_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
