"batch_id","index","status","source_relpath","applied_scale_percent","illustrator_status","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","pdf_compatible","png_width","png_height","png_has_alpha","png_transparent_pixels","png_nontransparent_pixels","png_corners_transparent","png_no_opaque_white_rectangle","source_hash_match","output_ai_hash_match","output_png_hash_match","output_ai","output_png","process_audit","verify_audit","comment"
"077_081_20260727_125234","77","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_4.ai","120","OK","true","1","1200","1200","600","600","true","1726","0","3489","3489","10","10","true","true","true","true","true","True","1200","1200","True","957368","482632","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s3_et3,5_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s3_et3,5_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\077_POZD_WEB_K2-1_s3_et3,5_4_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\077_POZD_WEB_K2-1_s3_et3,5_4_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"077_081_20260727_125234","78","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et4_2.ai","170","OK","true","1","1200","1200","600","600","true","1336","0","2708","2708","13","13","true","true","true","true","true","True","1200","1200","True","773074","666926","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s3_et4_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s3_et4_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\078_POZD_WEB_K2-1_s3_et4_2_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\078_POZD_WEB_K2-1_s3_et4_2_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"077_081_20260727_125234","79","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et4_3.ai","170","OK","true","1","1200","1200","600","600","true","1310","0","2655","2655","13","13","true","true","true","true","true","True","1200","1200","True","793358","646642","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s3_et4_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s3_et4_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\079_POZD_WEB_K2-1_s3_et4_3_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\079_POZD_WEB_K2-1_s3_et4_3_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"077_081_20260727_125234","80","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et4_4.ai","120","OK","true","1","1200","1200","600","600","true","1704","0","3449","3449","13","13","true","true","true","true","true","True","1200","1200","True","949646","490354","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s3_et4_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s3_et4_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\080_POZD_WEB_K2-1_s3_et4_4_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\080_POZD_WEB_K2-1_s3_et4_4_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"077_081_20260727_125234","81","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et6_1.ai","120","OK","true","1","1200","1200","600","600","true","1736","0","3518","3518","13","13","true","true","true","true","true","True","1200","1200","True","953922","486078","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s3_et6_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s3_et6_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\081_POZD_WEB_K2-1_s3_et6_1_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\081_POZD_WEB_K2-1_s3_et6_1_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
