"batch_id","index","status","timestamp","source_relpath","expected_scale_percent","ai_opened","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","output_ai","output_png","verify_audit","comment"
"257_276_20260727_151555","257","OK","2026-07-27T15:15:55","Корпус 2.3/POZD_WEB_K2-3_s12_et2_4.ai","120","true","true","1","1200","1200","600","600","true","2071","0","4191","4191","12","12","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et2_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et2_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\257_POZD_WEB_K2-3_s12_et2_4_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","258","OK","2026-07-27T15:16:01","Корпус 2.3/POZD_WEB_K2-3_s12_et3,5_1.ai","120","true","true","1","1200","1200","600","600","true","1421","0","2878","2878","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et3,5_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et3,5_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\258_POZD_WEB_K2-3_s12_et3,5_1_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","259","OK","2026-07-27T15:16:04","Корпус 2.3/POZD_WEB_K2-3_s12_et3,5_2.ai","200","true","true","1","1200","1200","600","600","true","874","0","1758","1758","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s12_et3,5_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s12_et3,5_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\259_POZD_WEB_K2-3_s12_et3,5_2_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","260","OK","2026-07-27T15:16:07","Корпус 2.3/POZD_WEB_K2-3_s12_et3,5_3.ai","200","true","true","1","1200","1200","600","600","true","785","0","1579","1579","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s12_et3,5_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s12_et3,5_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\260_POZD_WEB_K2-3_s12_et3,5_3_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","261","OK","2026-07-27T15:16:09","Корпус 2.3/POZD_WEB_K2-3_s12_et3_4.ai","120","true","true","1","1200","1200","600","600","true","2076","0","4202","4202","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et3_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et3_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\261_POZD_WEB_K2-3_s12_et3_4_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","262","OK","2026-07-27T15:16:15","Корпус 2.3/POZD_WEB_K2-3_s12_et4_1.ai","110","true","true","1","1200","1200","600","600","true","1450","0","2943","2943","12","12","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х110_POZD_WEB_K2-3_s12_et4_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х110_POZD_WEB_K2-3_s12_et4_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\262_POZD_WEB_K2-3_s12_et4_1_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","263","OK","2026-07-27T15:16:18","Корпус 2.3/POZD_WEB_K2-3_s12_et4_3.ai","200","true","true","1","1200","1200","600","600","true","798","0","1607","1607","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s12_et4_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s12_et4_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\263_POZD_WEB_K2-3_s12_et4_3_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","264","OK","2026-07-27T15:16:20","Корпус 2.3/POZD_WEB_K2-3_s12_et4_4.ai","120","true","true","1","1200","1200","600","600","true","2064","0","4167","4167","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et4_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et4_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\264_POZD_WEB_K2-3_s12_et4_4_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","265","OK","2026-07-27T15:16:26","Корпус 2.3/POZD_WEB_K2-3_s12_et5_4.ai","120","true","true","1","1200","1200","600","600","true","2078","0","4204","4204","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et5_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х120_POZD_WEB_K2-3_s12_et5_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\265_POZD_WEB_K2-3_s12_et5_4_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"257_276_20260727_151555","266","OK","2026-07-27T15:16:31","Корпус 2.3/POZD_WEB_K2-3_s12_et6_1.ai","110","true","true","1","1200","1200","600","600","true","3793","0","7699","7699","15","15","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х110_POZD_WEB_K2-3_s12_et6_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х110_POZD_WEB_K2-3_s12_et6_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\266_POZD_WEB_K2-3_s12_et6_1_verify_attempt1.json","Независимая read-only проверка AI пройдена."
