"batch_id","index","status","source_relpath","applied_scale_percent","illustrator_status","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","pdf_compatible","png_width","png_height","png_has_alpha","png_transparent_pixels","png_nontransparent_pixels","png_corners_transparent","png_no_opaque_white_rectangle","source_hash_match","output_ai_hash_match","output_png_hash_match","output_ai","output_png","process_audit","verify_audit","comment"
"297_316_20260727_154040","297","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et4_11.ai","200","OK","true","1","1200","1200","600","600","true","1023","0","2076","2076","10","10","true","true","true","true","true","True","1200","1200","True","684988","755012","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_11.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_11.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\297_POZD_WEB_K2-3_s13_et4_11_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\297_POZD_WEB_K2-3_s13_et4_11_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","298","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et4_2.ai","200","OK","true","1","1200","1200","600","600","true","707","0","1590","1590","10","10","true","true","true","true","true","True","1200","1200","True","879160","560840","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\298_POZD_WEB_K2-3_s13_et4_2_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\298_POZD_WEB_K2-3_s13_et4_2_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","299","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et4_3.ai","200","OK","true","1","1200","1200","600","600","true","820","0","1659","1659","11","11","true","true","true","true","true","True","1200","1200","True","834112","605888","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\299_POZD_WEB_K2-3_s13_et4_3_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\299_POZD_WEB_K2-3_s13_et4_3_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","300","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et4_5.ai","150","OK","true","1","1200","1200","600","600","true","1288","0","2612","2612","11","11","true","true","true","true","true","True","1200","1200","True","893203","546797","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s13_et4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s13_et4_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\300_POZD_WEB_K2-3_s13_et4_5_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\300_POZD_WEB_K2-3_s13_et4_5_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","301","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et4_6.ai","170","OK","true","1","1200","1200","600","600","true","1292","0","2619","2619","11","11","true","true","true","true","true","True","1200","1200","True","796513","643487","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s13_et4_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s13_et4_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\301_POZD_WEB_K2-3_s13_et4_6_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\301_POZD_WEB_K2-3_s13_et4_6_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","302","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et4_7.ai","200","OK","true","1","1200","1200","600","600","true","820","0","1658","1658","10","10","true","true","true","true","true","True","1200","1200","True","845868","594132","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_7.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_7.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\302_POZD_WEB_K2-3_s13_et4_7_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\302_POZD_WEB_K2-3_s13_et4_7_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","303","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et4_8.ai","150","OK","true","1","1200","1200","600","600","true","1526","0","3101","3101","11","11","true","true","true","true","true","True","1200","1200","True","811413","628587","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s13_et4_8.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s13_et4_8.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\303_POZD_WEB_K2-3_s13_et4_8_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\303_POZD_WEB_K2-3_s13_et4_8_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","304","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et4_9.ai","200","OK","true","1","1200","1200","600","600","true","878","0","1777","1777","10","10","true","true","true","true","true","True","1200","1200","True","839985","600015","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_9.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_9.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\304_POZD_WEB_K2-3_s13_et4_9_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\304_POZD_WEB_K2-3_s13_et4_9_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","305","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et5_5.ai","170","OK","true","1","1200","1200","600","600","true","1280","0","2592","2592","10","10","true","true","true","true","true","True","1200","1200","True","752104","687896","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s13_et5_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s13_et5_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\305_POZD_WEB_K2-3_s13_et5_5_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\305_POZD_WEB_K2-3_s13_et5_5_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"297_316_20260727_154040","306","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et5_7.ai","200","OK","true","1","1200","1200","600","600","true","804","0","1626","1626","10","10","true","true","true","true","true","True","1200","1200","True","848381","591619","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et5_7.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et5_7.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\306_POZD_WEB_K2-3_s13_et5_7_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\306_POZD_WEB_K2-3_s13_et5_7_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
