"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"011_020_20260727_114336","11","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et2_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_6.ai","222.574803","585.299221","620.425197","11.700779","397.850394","573.598442","2672","1297","10","10","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","12","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_1.ai","196.562992","556.452756","645.437008","39.547244","448.874016","516.905512","2340","1133","10","10","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","13","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_2.ai","190.893701","556.452756","650.981299","39.547244","460.087599","516.905513","2396","1157","10","10","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","14","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_3.ai","190.893701","585.299208","650.981299","11.700792","460.087599","573.598416","2456","1192","10","10","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","15","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_4.ai","190.893701","494.090554","650.981299","101.909446","460.087599","392.181108","1651","805","10","10","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","16","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_5.ai","-21.204725","525.271654","864.204725","70.853346","885.409449","454.418307","3524","1721","10","10","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","17","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et3,5_6.ai","222.574803","585.2992","620.425197","11.7008","397.850394","573.598401","2674","1299","10","10","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","18","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_1.ai","196.687993","556.327755","645.312008","39.672244","448.624015","516.655511","2330","1129","10","10","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","19","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et4_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_2.ai","190.893701","570.484252","650.981299","25.640748","460.087599","544.843504","2439","1180","14","14","0","0","0","0","0","0","Read-only preflight completed."
"011_020_20260727_114336","20","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_4.ai","176.987205","494.090544","665.012795","101.909456","488.025591","392.181088","1704","828","14","14","0","0","0","0","0","0","Read-only preflight completed."
