"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"031_040_20260727_114409","31","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_5.ai","185.791339","484.877951","656.083661","92.696852","470.292323","392.181098","1607","783","11","11","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","32","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_6.ai","173.885827","583.173228","668.114173","13.826772","494.228347","569.346457","2544","1234","11","11","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","33","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et1_7.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_7.ai","134.7008","520.169291","708.2992","75.955709","573.5984","444.213583","2405","1167","11","11","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","34","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et1_8.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_8.ai","103.644688","540.011806","739.480312","55.988194","635.835624","484.023612","2756","1339","10","10","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","35","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_1.ai","227.677165","585.299198","615.322835","11.700802","387.645669","573.598396","2453","1199","10","10","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","36","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_4.ai","185.791339","491.255899","656.083661","104.744101","470.292323","386.511798","1732","836","10","10","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","37","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_8.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_8.ai","134.643385","530.396517","708.356615","65.603483","573.71323","464.793034","2673","1300","10","10","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","38","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2,6_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,6_2.ai","227.645663","497.43026","615.354337","99.570243","387.708674","397.860017","1683","817","10","10","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","39","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2,6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,6_3.ai","165.948795","497.425192","676.051205","99.574808","510.102409","397.850384","1813","877","10","10","0","0","0","0","0","0","Read-only preflight completed."
"031_040_20260727_114409","40","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2,6_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,6_5.ai","185.791339","494.090556","656.083661","101.909444","470.292323","392.181112","1699","822","10","10","0","0","0","0","0","0","Read-only preflight completed."
