"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"161_170_20260727_114732","161","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et1_5.ai","67.893701","583.074797","527.981299","258.925203","460.087599","324.149595","1593","776","10","10","0","0","0","0","0","0","Read-only preflight completed."
"161_170_20260727_114732","162","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et1_6.ai","-146.122047","755.137801","742.122047","86.862199","888.244095","668.275602","8960","4401","16","16","0","0","0","0","0","0","Read-only preflight completed."
"161_170_20260727_114732","163","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et2,6_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et2,6_2.ai","11.649784","707.020287","585.350216","192.507492","573.700433","514.512795","2698","1311","10","10","0","0","0","0","0","0","Read-only preflight completed."
"161_170_20260727_114732","164","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et2,6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et2,6_3.ai","44.866148","695.060039","552.133852","146.939961","507.267704","548.120079","2334","1128","11","11","0","0","0","0","0","1","Read-only preflight completed."
"161_170_20260727_114732","165","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et2_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et2_1.ai","-19.355311","864.204725","616.480311","-21.204725","635.835622","885.409449","4388","2138","10","10","0","0","0","0","0","0","Read-only preflight completed."
"161_170_20260727_114732","166","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et2_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et2_4.ai","53.987205","617.090552","542.012795","224.909448","488.025591","392.181105","1795","864","11","11","0","0","0","0","0","1","Read-only preflight completed."
"161_170_20260727_114732","167","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et2_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et2_5.ai","67.893701","583.329226","527.981299","258.668789","460.087599","324.660437","1626","789","10","10","0","0","0","0","0","0","Read-only preflight completed."
"161_170_20260727_114732","168","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et2_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et2_6.ai","-160.028543","700.362219","756.153543","142.637779","916.182087","557.72444","4714","2291","11","11","0","0","0","0","0","1","Read-only preflight completed."
"161_170_20260727_114732","169","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et3,5_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et3,5_1.ai","-19.233001","864.204729","616.358001","-21.204727","635.591001","885.409456","4424","2154","10","10","0","0","0","0","0","0","Read-only preflight completed."
"161_170_20260727_114732","170","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et3,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et3,5_2.ai","11.700796","707.72689","585.299204","192.527559","573.598409","515.199331","2669","1291","10","10","0","0","0","0","0","0","Read-only preflight completed."
