"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"261_270_20260727_115023","261","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et3_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et3_4.ai","517.795275","830.13386","1403.204725","250.86614","885.409449","579.26772","4202","2047","11","11","0","0","0","0","0","0","Read-only preflight completed."
"261_270_20260727_115023","262","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et4_1.ai","489.857283","747.429135","1431.142717","332.570865","941.285433","414.85827","2943","1427","12","12","0","0","0","0","0","11","Read-only preflight completed."
"261_270_20260727_115023","263","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et4_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et4_3.ai","704.014764","736.090551","1216.985236","343.909449","512.970473","392.181103","1607","777","11","11","0","0","0","0","0","10","Read-only preflight completed."
"261_270_20260727_115023","264","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et4_4.ai","517.795275","830.133868","1403.204725","250.866131","885.409449","579.267737","4167","2035","11","11","0","0","0","0","0","0","Read-only preflight completed."
"261_270_20260727_115023","265","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et5_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et5_4.ai","517.795275","830.133874","1403.204725","250.866124","885.409449","579.26775","4204","2049","11","11","0","0","0","0","0","0","Read-only preflight completed."
"261_270_20260727_115023","266","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et6_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et6_1.ai","466.771653","834.385824","1454.103347","246.614176","987.331693","587.771647","7699","3769","15","15","0","0","0","0","0","0","Read-only preflight completed."
"261_270_20260727_115023","267","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et6_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et6_2.ai","704.014764","745.094492","1216.985236","335.905508","512.970473","409.188985","1790","867","11","11","0","0","0","0","0","10","Read-only preflight completed."
"261_270_20260727_115023","268","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et6_3.ai","717.92126","736.090553","1202.95374","343.909447","485.03248","392.181107","1626","784","10","10","0","0","0","0","0","0","Read-only preflight completed."
"261_270_20260727_115023","269","OK","Корпус 2.3/POZD_WEB_K2-3_s12_et6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s12_et6_4.ai","489.857283","830.133868","1431.142717","250.866131","941.285433","579.267737","4198","2050","11","11","0","0","0","0","0","10","Read-only preflight completed."
"261_270_20260727_115023","270","OK","Корпус 2.3/POZD_WEB_K2-3_s13_et1,3,5_9.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et1,3,5_9.ai","735.562997","832.77066","1184.437003","247.751433","448.874006","585.019227","3779","1850","14","14","0","0","0","0","0","1","Read-only preflight completed."
