"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"181_190_20260727_114811","181","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et5_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et5_6.ai","-146.122047","700.362216","742.122047","142.637783","888.244095","557.724432","4682","2275","10","10","0","0","0","0","0","0","Read-only preflight completed."
"181_190_20260727_114811","182","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et6_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et6_1.ai","-20.139509","878.236221","616.264509","-35.111221","636.404017","913.347441","4491","2188","11","11","0","0","0","0","0","1","Read-only preflight completed."
"181_190_20260727_114811","183","OK","Корпус 2.2/POZD_WEB_K2-2_s6_et6_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s6_et6_6.ai","-172.142717","700.3622","769.142717","142.6378","941.285433","557.7244","4767","2317","16","16","0","0","0","0","0","1","Read-only preflight completed."
"181_190_20260727_114811","184","OK","Корпус 2.2/POZD_WEB_K2-2_s7_et1,4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s7_et1,4_1.ai","31.54331","639.133858","565.45669","203.991142","533.913379","435.142717","1883","907","10","10","0","0","0","0","0","0","Read-only preflight completed."
"181_190_20260727_114811","185","OK","Корпус 2.2/POZD_WEB_K2-2_s7_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s7_et1_2.ai","43.732283","738.271624","553.267717","103.728376","509.535433","634.543249","2321","1123","10","10","0","0","0","0","0","0","Read-only preflight completed."
"181_190_20260727_114811","186","OK","Корпус 2.2/POZD_WEB_K2-2_s7_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s7_et1_3.ai","58.539372","645.437008","537.460628","196.562989","478.921255","448.874019","1841","890","11","11","0","0","0","0","0","0","Read-only preflight completed."
"181_190_20260727_114811","187","OK","Корпус 2.2/POZD_WEB_K2-2_s7_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s7_et1_4.ai","72.645666","663.95374","524.070864","178.92126","451.425198","485.03248","1771","857","11","11","0","0","0","0","0","0","Read-only preflight completed."
"181_190_20260727_114811","188","OK","Корпус 2.2/POZD_WEB_K2-2_s7_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s7_et1_5.ai","11.700794","683.42126","585.299206","158.57874","573.598411","524.84252","2636","1280","11","11","0","0","0","0","0","1","Read-only preflight completed."
"181_190_20260727_114811","189","OK","Корпус 2.2/POZD_WEB_K2-2_s7_et2,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s7_et2,5_2.ai","43.732283","645.437012","553.267717","196.562988","509.535433","448.874025","1891","910","10","10","0","0","0","0","0","0","Read-only preflight completed."
"181_190_20260727_114811","190","OK","Корпус 2.2/POZD_WEB_K2-2_s7_et2,6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.2\POZD_WEB_K2-2_s7_et2,6_4.ai","11.700796","677.985236","585.299204","165.014764","573.598409","512.970473","2515","1220","11","11","0","0","0","0","0","1","Read-only preflight completed."
