"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"041_050_20260727_114424","41","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_6.ai","173.885818","644.326774","668.114182","-48.326774","494.228364","692.653549","3200","1557","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","42","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2_7.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_7.ai","134.7008","520.169291","708.2992","75.955709","573.5984","444.213583","2302","1115","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","43","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et2_9.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2_9.ai","106.688832","515.029016","735.311168","81.970984","628.622336","433.058031","2822","1372","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","44","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_1.ai","227.677165","585.299198","615.322835","11.700802","387.645669","573.598396","2467","1205","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","45","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_2.ai","227.671161","497.486004","615.328839","99.513996","387.657679","397.972008","1689","818","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","46","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_3.ai","166.511517","497.4252","676.488484","99.5748","509.976967","397.8504","1812","879","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","47","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_4.ai","185.791339","491.255909","656.083661","104.744091","470.292323","386.511818","1711","828","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","48","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_5.ai","185.791339","494.090557","656.083661","101.909443","470.292323","392.181114","1689","819","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","49","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_6.ai","173.885824","644.326785","668.114176","-48.326785","494.228352","692.653571","3200","1557","10","10","0","0","0","0","0","0","Read-only preflight completed."
"041_050_20260727_114424","50","OK","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_7.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et3,5_7.ai","134.700802","520.169291","708.299198","75.955709","573.598397","444.213583","2292","1111","10","10","0","0","0","0","0","0","Read-only preflight completed."
