"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"071_080_20260727_114514","71","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et2,6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2,6_3.ai","134.700801","540.95374","708.299199","55.92126","573.598398","485.03248","2630","1278","10","10","0","0","0","0","0","0","Read-only preflight completed."
"071_080_20260727_114514","72","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et2_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2_2.ai","134.700775","540.95374","708.299225","55.92126","573.598449","485.03248","2722","1320","10","10","0","0","0","0","0","0","Read-only preflight completed."
"071_080_20260727_114514","73","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et2_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et2_4.ai","193.728346","741.204725","648.146654","-144.204725","454.418307","885.409449","3489","1696","10","10","0","0","0","0","0","0","Read-only preflight completed."
"071_080_20260727_114514","74","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et3,5_1.ai","134.700796","741.204725","708.299204","-144.204725","573.598408","885.409449","3422","1665","10","10","0","0","0","0","0","0","Read-only preflight completed."
"071_080_20260727_114514","75","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et3,5_2.ai","134.700791","540.95374","708.299209","55.92126","573.598418","485.03248","2713","1318","10","10","0","0","0","0","0","0","Read-only preflight completed."
"071_080_20260727_114514","76","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et3,5_3.ai","134.700788","540.95374","708.299212","55.92126","573.598425","485.03248","2636","1280","10","10","0","0","0","0","0","0","Read-only preflight completed."
"071_080_20260727_114514","77","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et3,5_4.ai","193.728346","741.204725","648.146654","-144.204725","454.418308","885.409449","3489","1696","10","10","0","0","0","0","0","0","Read-only preflight completed."
"071_080_20260727_114514","78","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et4_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et4_2.ai","134.700786","554.985236","708.299214","42.014764","573.598427","512.970473","2708","1315","13","13","0","0","0","0","0","12","Read-only preflight completed."
"071_080_20260727_114514","79","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et4_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et4_3.ai","134.700774","554.985236","708.299226","42.014764","573.598452","512.970473","2655","1291","13","13","0","0","0","0","0","1","Read-only preflight completed."
"071_080_20260727_114514","80","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et4_4.ai","193.728346","755.111221","648.146654","-158.236221","454.418307","913.347441","3449","1675","13","13","0","0","0","0","0","12","Read-only preflight completed."
