"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"381_387_20260727_115324","381","OK","Корпус 2.3/POZD_WEB_K2-3_s9_et4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s9_et4_4.ai","748.818895","765.429134","1172.181105","314.695866","423.36221","450.733268","1899","925","11","11","0","0","0","0","0","10","Read-only preflight completed."
"381_387_20260727_115324","382","OK","Корпус 2.3/POZD_WEB_K2-3_s9_et4_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s9_et4_5.ai","625.511803","990.177677","1295.488198","90.697323","669.976395","899.480355","3344","1626","12","12","0","0","0","0","0","1","Read-only preflight completed."
"381_387_20260727_115324","383","OK","Корпус 2.3/POZD_WEB_K2-3_s9_et5_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s9_et5_4.ai","458.761885","804.405512","1461.238115","275.594488","1002.476231","528.811024","5320","2617","15","15","0","0","0","0","0","1","Read-only preflight completed."
"381_387_20260727_115324","384","OK","Корпус 2.3/POZD_WEB_K2-3_s9_et5_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s9_et5_5.ai","410.572895","810.216511","1509.427105","269.783489","1098.854211","540.433022","5709","2804","15","15","0","0","0","0","0","1","Read-only preflight completed."
"381_387_20260727_115324","385","OK","Корпус 2.3/POZD_WEB_K2-3_s9_et6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s9_et6_3.ai","756.030517","796.985236","1164.969483","284.014764","408.938965","512.970473","1799","877","11","11","0","0","0","0","0","1","Read-only preflight completed."
"381_387_20260727_115324","386","OK","Корпус 2.3/POZD_WEB_K2-3_s9_et6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s9_et6_4.ai","625.511824","765.429134","1295.488176","314.695866","669.976352","450.733268","2138","1049","13","13","0","0","0","0","0","1","Read-only preflight completed."
"381_387_20260727_115324","387","OK","Корпус 2.3/POZD_WEB_K2-3_s9_et6_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s9_et6_5.ai","616.507876","810.216533","1303.492124","269.783467","686.984248","540.433065","2394","1173","12","12","0","0","0","0","0","0","Read-only preflight completed."
